Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
M211,Sham,Sham-1,21361,DB030,0,0,1009
M211,Sham,Sham-1,21361,DB030,1,0,709
M211,Sham,Sham-1,21361,DB032,0,0,654
M211,Sham,Sham-1,21361,DB032,1,0,778
M211,Sham,Sham-1,21361,DB033,0,0,1109
M211,Sham,Sham-1,21361,DB033,1,0,891
M211,Sham,Sham-1,21361,DB037,0,0,1267
M211,Sham,Sham-1,21361,DB037,1,0,1113
M211,Sham,Sham-1,21361,DB038,0,0,630
M211,Sham,Sham-1,21361,DB038,1,0,611
M211,Sham,Sham-1,21361,DB040,0,0,3633
M211,Sham,Sham-1,21361,DB040,1,0,2532
M211,Sham,Sham-1,21361,DB047,0,0,426
M211,Sham,Sham-1,21361,DB047,1,0,1110
M211,Sham,Sham-1,21361,DB049,0,0,1229
M211,Sham,Sham-1,21361,DB049,1,0,1229
M211,Sham,Sham-1,21361,DB075,0,0,370
M211,Sham,Sham-1,21361,DB075,1,0,945
M211,Sham,Sham-1,21361,DB076,0,0,986
M211,Sham,Sham-1,21361,DB076,1,0,736
M211,Sham,Sham-1,21361,DB077,0,0,253
M211,Sham,Sham-1,21361,DB077,1,0,739
M211,Sham,Sham-1,21361,F37720,0,0,3044
M211,Sham,Sham-1,21361,F37720,1,1,2626
M211,Sham,Sham-1,21361,H00004254-MOI,0,0,56
M211,Sham,Sham-1,21361,H00004254-MOI,1,0,36
M211,Sham,Sham-1,21361,H65520,0,0,4096
M211,Sham,Sham-1,21361,H65520,1,0,3289
M211,Sham,Sham-1,21361,H98620,0,0,3080
M211,Sham,Sham-1,21361,H98620,1,0,3060
M211,Sham,Sham-1,21361,J31920,0,0,73
M211,Sham,Sham-1,21361,J31920,1,0,71
M211,Sham,Sham-1,21361,KAM-CC242,0,0,5556
M211,Sham,Sham-1,21361,KAM-CC242,1,1,4454
M211,Sham,Sham-1,21361,KAP-CC006E,0,0,5340
M211,Sham,Sham-1,21361,KAP-CC006E,1,0,4079
M211,Sham,Sham-1,21361,KAP-MA023,0,0,844
M211,Sham,Sham-1,21361,KAP-MA023,1,0,884
M211,Sham,Sham-1,21361,KAP-PK011,0,0,2598
M211,Sham,Sham-1,21361,KAP-PK011,1,0,2457
M211,Sham,Sham-1,21361,KAP-ST009E,0,0,2355
M211,Sham,Sham-1,21361,KAP-ST009E,1,0,2701
M211,Sham,Sham-1,21361,KAP-ST203,0,0,143
M211,Sham,Sham-1,21361,KAP-ST203,1,0,410
M211,Sham,Sham-1,21361,KAP-ST205,0,0,2458
M211,Sham,Sham-1,21361,KAP-ST205,1,0,2340
M211,Sham,Sham-1,21361,KAP-TF115,0,0,3964
M211,Sham,Sham-1,21361,KAP-TF115,1,0,3782
M211,Sham,Sham-1,21361,KAP-TF118,0,0,1788
M211,Sham,Sham-1,21361,KAP-TF118,1,0,1469
M211,Sham,Sham-1,21361,KAP-TK121,0,0,8723
M211,Sham,Sham-1,21361,KAP-TK121,1,0,6457
M211,Sham,Sham-1,21361,KalCTNB5,0,0,5472
M211,Sham,Sham-1,21361,KalCTNB5,1,0,4014
M211,Sham,Sham-1,21361,M037-3,0,0,291
M211,Sham,Sham-1,21361,M037-3,1,0,415
M211,Sham,Sham-1,21361,M77120,0,0,3143
M211,Sham,Sham-1,21361,M77120,1,0,2955
M211,Sham,Sham-1,21361,NK001-4,0,0,8386
